run_id,timestamp,epoch,train_loss,supcon_loss,ce_loss,mask_loss,val_inst_top1,val_pos_sim,val_neg_sim,val_decoder_wer,val_decoder_bleu,val_decoder_exact,val_retrieval_top1,val_retrieval_mrr
20251215-135645,2025-12-15T13:57:35,0,5.2528875429336335,3.936543747170331,6.562557507867682,0.016684668782894332,0.6295631527900696,0.9803032875061035,0.9796481728553772,1.0,1.2628066831545302e-08,0.0,,
20251215-135645,2025-12-15T13:58:18,1,4.626670896190486,3.3250241524552644,5.921340579855932,0.017442731799124037,0.7091562151908875,0.9660174250602722,0.9581644535064697,0.8920634920634921,1.6133180873898646e-06,0.0,,
20251215-135645,2025-12-15T13:58:59,2,4.351433504117678,3.0268284164062917,5.668989468927252,0.017622844111939817,0.7492519617080688,0.966367244720459,0.946994960308075,0.9777777777777779,4.9074833788591685e-09,0.0,,
20251215-135645,2025-12-15T13:59:42,3,4.214117868305886,2.9244044774199187,5.496591473278934,0.018099415906998394,0.7432674765586853,0.9532726407051086,0.9308543801307678,0.9714285714285715,1.3632554144812226e-08,0.0,,
20251215-135645,2025-12-15T14:00:25,4,4.10012927120679,2.789784119553762,5.403082178063588,0.018480640236441404,0.7384799718856812,0.9536781311035156,0.9305464029312134,0.9142857142857143,0.0002954571923329265,0.0,0.010810810810810811,0.03333126723567077
20251215-135645,2025-12-15T14:01:05,5,4.015366453014008,2.7276663110680777,5.295544572072487,0.01880504144993547,0.7648115158081055,0.9510035514831543,0.920969545841217,0.9714285714285715,7.400538365643644e-09,0.0,,
20251215-135645,2025-12-15T14:01:47,6,3.9450899133943533,2.6717223843483078,5.210840032525258,0.019043529750651694,0.7893477082252502,0.9530347585678101,0.9146698713302612,0.8857142857142858,0.00035650329372954485,0.0,,
20251215-135645,2025-12-15T14:02:29,7,3.8875066237906886,2.6172384301277054,5.149979643625755,0.019487882249873793,0.8001196980476379,0.9564300179481506,0.9189444184303284,0.9083333333333332,0.0002389723989401816,0.0,,
20251215-135645,2025-12-15T14:03:11,8,3.815379232576449,2.5566602684047126,5.066197251620358,0.019752406834127153,0.7737881541252136,0.951659083366394,0.9151321053504944,0.8678571428571429,0.0006483704053230316,0.0,,
20251215-135645,2025-12-15T14:03:56,9,3.7439081276932806,2.4787039666959685,5.001194059032283,0.01979554017163711,0.7803710103034973,0.9531312584877014,0.9119694828987122,0.7857142857142857,0.000596646094570332,0.0,0.015540540540540541,0.05116741432111477
20251215-135645,2025-12-15T14:04:37,10,3.7172674544870037,2.459409040947483,4.966895835040367,0.020575115610271283,0.7941352725028992,0.9570798873901367,0.9153255820274353,1.0571428571428572,7.319046031709222e-09,0.0,,
20251215-135645,2025-12-15T14:05:18,11,3.671107097847821,2.438817854613474,4.89511015970413,0.020715452909265478,0.7803710103034973,0.9528575539588928,0.9105996489524841,0.8956349206349206,2.033764110927503e-08,0.0,,
20251215-135645,2025-12-15T14:05:59,12,3.636356192092373,2.4044908130005616,4.85971398876138,0.021268921840476664,0.7947337031364441,0.9551773071289062,0.9115478992462158,1.057777777777778,1.1627627761856914e-08,0.0,,
20251215-135645,2025-12-15T14:06:42,13,3.58337790998694,2.3357008254691345,4.822477908983623,0.021442734547061464,0.7959305644035339,0.9551454186439514,0.9102815389633179,0.9019841269841269,2.2184021120487254e-06,0.0,,
20251215-135645,2025-12-15T14:07:26,14,3.5465525519357968,2.3261967717784726,4.758134877845032,0.021933640761632626,0.8126870393753052,0.9568854570388794,0.9086100459098816,1.1066666666666667,1.7771360195184408e-10,0.0,0.021621621621621623,0.06038562747607777
20251215-135645,2025-12-15T14:08:08,15,3.52025383629211,2.298850791911556,4.7327862047169305,0.022176699432199947,0.8252543210983276,0.9588806629180908,0.9055790305137634,0.9492063492063492,1.1794924381108146e-06,0.0,,
20251215-135645,2025-12-15T14:08:50,16,3.4740401408443713,2.232999478300957,4.706139783336692,0.022352520491264453,0.8114901185035706,0.9578414559364319,0.9090678691864014,0.9492063492063492,1.1944989111157487e-06,0.0,,
20251215-135645,2025-12-15T14:09:32,17,3.443753469480227,2.2128546262440616,4.665544829956473,0.022768721800960907,0.8084979057312012,0.9595451354980469,0.909132719039917,0.9077777777777778,3.2525098450695454e-06,0.0,,
20251215-135645,2025-12-15T14:10:13,18,3.4013190857351643,2.175572210795259,4.617920323593975,0.022864085711436728,0.8264512419700623,0.9598498344421387,0.9074434638023376,0.9800000000000001,1.179095749362022e-06,0.0,,
20251215-135645,2025-12-15T14:10:58,19,3.3793037884855925,2.1596751653984803,4.589664455962508,0.023169863752204263,0.8156792521476746,0.9585631489753723,0.9116342663764954,0.9111111111111111,1.0465950506869839e-06,0.0,0.026351351351351353,0.07861371904864002
20251215-135645,2025-12-15T14:11:39,20,3.3503766386476284,2.135874412647665,4.555457167429466,0.023554244474188923,0.8228605389595032,0.9583069086074829,0.9082076549530029,0.9277777777777778,1.1888451647109968e-06,0.0,,
20251215-135645,2025-12-15T14:12:20,21,3.320458808990374,2.105502000410263,4.525857882956936,0.023894328624010086,0.8102932572364807,0.9572343826293945,0.9077832698822021,0.9873015873015873,1.5355901632465833e-06,0.0,,
20251215-135645,2025-12-15T14:13:03,22,3.2941653761145187,2.083701924101947,4.495046380448015,0.023956085478708353,0.8264512419700623,0.9612827301025391,0.9100273251533508,1.0227777777777778,1.1931884502361857e-06,0.0,,
20251215-135645,2025-12-15T14:13:45,23,3.272601219072734,2.0677962621597397,4.467747956106107,0.02414563006070787,0.8073010444641113,0.9576089382171631,0.9071424007415771,1.0222222222222221,1.048417361569121e-06,0.0,,
